Track 0:
UnknownMetaMessage(type_byte=8, data=(66, 97, 99, 104, 32, 67, 101, 108, 108, 111, 32, 83, 117, 105, 116, 101, 32, 78, 111, 46, 32, 49, 32, 70, 111, 114, 32, 86, 105, 111, 108, 105, 110, 0), time=0)
UnknownMetaMessage(type_byte=10, data=(74, 46, 83, 46, 32, 66, 97, 99, 104, 0), time=0)
UnknownMetaMessage(type_byte=12, data=(65, 100, 97, 112, 116, 101, 100, 32, 102, 111, 114, 32, 118, 105, 111, 108, 105, 110, 32, 98, 121, 32, 86, 105, 116, 116, 111, 114, 105, 97, 0), time=0)
MetaMessage('device_name', name='Arranged by mateuszswoboda\x00', time=0)
note_on channel=0 note=78 velocity=80 time=1
note_on channel=0 note=78 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=78 velocity=80 time=1
note_on channel=0 note=78 velocity=0 time=119
note_on channel=0 note=74 velocity=80 time=1
note_on channel=0 note=74 velocity=0 time=119
note_on channel=0 note=73 velocity=80 time=1
note_on channel=0 note=73 velocity=0 time=119
note_on channel=0 note=71 velocity=80 time=1
note_on channel=0 note=71 velocity=0 time=119
note_on channel=0 note=69 velocity=80 time=1
note_on channel=0 note=69 velocity=0 time=119
note_on channel=0 note=67 velocity=80 time=1
note_on channel=0 note=67 velocity=0 time=119
note_on channel=0 note=66 velocity=80 time=1
note_on channel=0 note=66 velocity=0 time=119
note_on channel=0 note=64 velocity=80 time=1
note_on channel=0 note=64 velocity=0 time=119
note_on channel=0 note=62 velocity=80 time=1
note_on channel=0 note=62 velocity=0 time=119
note_on channel=0 note=61 velocity=80 time=1
note_on channel=0 note=61 velocity=0 time=119
note_on channel=0 note=59 velocity=80 time=1
note_on channel=0 note=59 velocity=0 time=119
note_on channel=0 note=57 velocity=80 time=1
note_on channel=0 note=57 velocity=0 time=119
note_on channel=0 note=56 velocity=80 time=1
note_on channel=0 note=56 velocity=0 time=119
note_on channel=0 note=64 velocity=80 time=1
note_on channel=0 note=64 velocity=0 time=119
note_on channel=0 note=71 velocity=80 time=1
note_on channel=0 note=71 velocity=0 time=119
note_on channel=0 note=73 velocity=80 time=1
note_on channel=0 note=73 velocity=0 time=119
note_on channel=0 note=74 velocity=80 time=1
note_on channel=0 note=74 velocity=0 time=119
note_on channel=0 note=71 velocity=80 time=1
note_on channel=0 note=71 velocity=0 time=119
note_on channel=0 note=73 velocity=80 time=1
note_on channel=0 note=73 velocity=0 time=119
note_on channel=0 note=74 velocity=80 time=1
note_on channel=0 note=74 velocity=0 time=119
note_on channel=0 note=56 velocity=80 time=1
note_on channel=0 note=56 velocity=0 time=119
note_on channel=0 note=64 velocity=80 time=1
note_on channel=0 note=64 velocity=0 time=119
note_on channel=0 note=71 velocity=80 time=1
note_on channel=0 note=71 velocity=0 time=119
note_on channel=0 note=73 velocity=80 time=1
note_on channel=0 note=73 velocity=0 time=119
note_on channel=0 note=74 velocity=80 time=1
note_on channel=0 note=74 velocity=0 time=119
note_on channel=0 note=71 velocity=80 time=1
note_on channel=0 note=71 velocity=0 time=119
note_on channel=0 note=73 velocity=80 time=1
note_on channel=0 note=73 velocity=0 time=119
note_on channel=0 note=74 velocity=80 time=1
note_on channel=0 note=74 velocity=0 time=119
note_on channel=0 note=55 velocity=80 time=1
note_on channel=0 note=55 velocity=0 time=119
note_on channel=0 note=64 velocity=80 time=1
note_on channel=0 note=64 velocity=0 time=119
note_on channel=0 note=69 velocity=80 time=1
note_on channel=0 note=69 velocity=0 time=119
note_on channel=0 note=71 velocity=80 time=1
note_on channel=0 note=71 velocity=0 time=119
note_on channel=0 note=73 velocity=80 time=1
note_on channel=0 note=73 velocity=0 time=119
note_on channel=0 note=69 velocity=80 time=1
note_on channel=0 note=69 velocity=0 time=119
note_on channel=0 note=71 velocity=80 time=1
note_on channel=0 note=71 velocity=0 time=119
note_on channel=0 note=73 velocity=80 time=1
note_on channel=0 note=73 velocity=0 time=119
note_on channel=0 note=55 velocity=80 time=1
note_on channel=0 note=55 velocity=0 time=119
note_on channel=0 note=64 velocity=80 time=1
note_on channel=0 note=64 velocity=0 time=119
note_on channel=0 note=69 velocity=80 time=1
note_on channel=0 note=69 velocity=0 time=119
note_on channel=0 note=71 velocity=80 time=1
note_on channel=0 note=71 velocity=0 time=119
note_on channel=0 note=73 velocity=80 time=1
note_on channel=0 note=73 velocity=0 time=119
note_on channel=0 note=69 velocity=80 time=1
note_on channel=0 note=69 velocity=0 time=119
note_on channel=0 note=71 velocity=80 time=1
note_on channel=0 note=71 velocity=0 time=119
note_on channel=0 note=73 velocity=80 time=1
note_on channel=0 note=73 velocity=0 time=119
note_on channel=0 note=55 velocity=80 time=1
note_on channel=0 note=55 velocity=0 time=119
note_on channel=0 note=64 velocity=80 time=1
note_on channel=0 note=64 velocity=0 time=119
note_on channel=0 note=69 velocity=80 time=1
note_on channel=0 note=69 velocity=0 time=119
note_on channel=0 note=73 velocity=80 time=1
note_on channel=0 note=73 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=80 velocity=80 time=1
note_on channel=0 note=80 velocity=0 time=119
note_on channel=0 note=81 velocity=80 time=1
note_on channel=0 note=81 velocity=0 time=359
note_on channel=0 note=64 velocity=80 time=1
note_on channel=0 note=64 velocity=0 time=119
note_on channel=0 note=66 velocity=80 time=1
note_on channel=0 note=66 velocity=0 time=119
note_on channel=0 note=67 velocity=80 time=1
note_on channel=0 note=67 velocity=0 time=119
note_on channel=0 note=69 velocity=80 time=1
note_on channel=0 note=69 velocity=0 time=119
note_on channel=0 note=71 velocity=80 time=1
note_on channel=0 note=71 velocity=0 time=119
note_on channel=0 note=73 velocity=80 time=1
note_on channel=0 note=73 velocity=0 time=119
note_on channel=0 note=74 velocity=80 time=1
note_on channel=0 note=74 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=73 velocity=80 time=1
note_on channel=0 note=73 velocity=0 time=119
note_on channel=0 note=69 velocity=80 time=1
note_on channel=0 note=69 velocity=0 time=119
note_on channel=0 note=71 velocity=80 time=1
note_on channel=0 note=71 velocity=0 time=119
note_on channel=0 note=73 velocity=80 time=1
note_on channel=0 note=73 velocity=0 time=119
note_on channel=0 note=74 velocity=80 time=1
note_on channel=0 note=74 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=78 velocity=80 time=1
note_on channel=0 note=78 velocity=0 time=119
note_on channel=0 note=79 velocity=80 time=1
note_on channel=0 note=79 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=73 velocity=80 time=1
note_on channel=0 note=73 velocity=0 time=119
note_on channel=0 note=74 velocity=80 time=1
note_on channel=0 note=74 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=78 velocity=80 time=1
note_on channel=0 note=78 velocity=0 time=119
note_on channel=0 note=79 velocity=80 time=1
note_on channel=0 note=79 velocity=0 time=119
note_on channel=0 note=81 velocity=80 time=1
note_on channel=0 note=81 velocity=0 time=119
note_on channel=0 note=82 velocity=80 time=1
note_on channel=0 note=82 velocity=0 time=119
note_on channel=0 note=81 velocity=80 time=1
note_on channel=0 note=81 velocity=0 time=119
note_on channel=0 note=80 velocity=80 time=1
note_on channel=0 note=80 velocity=0 time=119
note_on channel=0 note=81 velocity=80 time=1
note_on channel=0 note=81 velocity=0 time=119
note_on channel=0 note=81 velocity=80 time=1
note_on channel=0 note=81 velocity=0 time=119
note_on channel=0 note=79 velocity=80 time=1
note_on channel=0 note=79 velocity=0 time=119
note_on channel=0 note=78 velocity=80 time=1
note_on channel=0 note=78 velocity=0 time=119
note_on channel=0 note=79 velocity=80 time=1
note_on channel=0 note=79 velocity=0 time=119
note_on channel=0 note=79 velocity=80 time=1
note_on channel=0 note=79 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=73 velocity=80 time=1
note_on channel=0 note=73 velocity=0 time=119
note_on channel=0 note=71 velocity=80 time=1
note_on channel=0 note=71 velocity=0 time=119
note_on channel=0 note=69 velocity=80 time=1
note_on channel=0 note=69 velocity=0 time=119
note_on channel=0 note=64 velocity=80 time=1
note_on channel=0 note=64 velocity=0 time=119
note_on channel=0 note=66 velocity=80 time=1
note_on channel=0 note=66 velocity=0 time=119
note_on channel=0 note=67 velocity=80 time=1
note_on channel=0 note=67 velocity=0 time=119
note_on channel=0 note=57 velocity=80 time=1
note_on channel=0 note=57 velocity=0 time=119
note_on channel=0 note=64 velocity=80 time=1
note_on channel=0 note=64 velocity=0 time=119
note_on channel=0 note=69 velocity=80 time=1
note_on channel=0 note=69 velocity=0 time=119
note_on channel=0 note=73 velocity=80 time=1
note_on channel=0 note=73 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=78 velocity=80 time=1
note_on channel=0 note=78 velocity=0 time=119
note_on channel=0 note=79 velocity=80 time=1
note_on channel=0 note=79 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=78 velocity=80 time=1
note_on channel=0 note=78 velocity=0 time=119
note_on channel=0 note=74 velocity=80 time=1
note_on channel=0 note=74 velocity=0 time=119
note_on channel=0 note=69 velocity=80 time=1
note_on channel=0 note=69 velocity=0 time=119
note_on channel=0 note=67 velocity=80 time=1
note_on channel=0 note=67 velocity=0 time=119
note_on channel=0 note=66 velocity=80 time=1
note_on channel=0 note=66 velocity=0 time=119
note_on channel=0 note=62 velocity=80 time=1
note_on channel=0 note=62 velocity=0 time=119
note_on channel=0 note=64 velocity=80 time=1
note_on channel=0 note=64 velocity=0 time=119
note_on channel=0 note=66 velocity=80 time=1
note_on channel=0 note=66 velocity=0 time=119
note_on channel=0 note=57 velocity=80 time=1
note_on channel=0 note=57 velocity=0 time=119
note_on channel=0 note=62 velocity=80 time=1
note_on channel=0 note=62 velocity=0 time=119
note_on channel=0 note=66 velocity=80 time=1
note_on channel=0 note=66 velocity=0 time=119
note_on channel=0 note=69 velocity=80 time=1
note_on channel=0 note=69 velocity=0 time=119
note_on channel=0 note=74 velocity=80 time=1
note_on channel=0 note=74 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=78 velocity=80 time=1
note_on channel=0 note=78 velocity=0 time=119
note_on channel=0 note=74 velocity=80 time=1
note_on channel=0 note=74 velocity=0 time=119
note_on channel=0 note=80 velocity=80 time=1
note_on channel=0 note=80 velocity=0 time=119
note_on channel=0 note=78 velocity=80 time=1
note_on channel=0 note=78 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=77 velocity=80 time=1
note_on channel=0 note=77 velocity=0 time=119
note_on channel=0 note=77 velocity=80 time=1
note_on channel=0 note=77 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=75 velocity=80 time=1
note_on channel=0 note=75 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=74 velocity=80 time=1
note_on channel=0 note=74 velocity=0 time=119
note_on channel=0 note=73 velocity=80 time=1
note_on channel=0 note=73 velocity=0 time=119
note_on channel=0 note=74 velocity=80 time=1
note_on channel=0 note=74 velocity=0 time=119
note_on channel=0 note=74 velocity=80 time=1
note_on channel=0 note=74 velocity=0 time=119
note_on channel=0 note=71 velocity=80 time=1
note_on channel=0 note=71 velocity=0 time=119
note_on channel=0 note=68 velocity=80 time=1
note_on channel=0 note=68 velocity=0 time=119
note_on channel=0 note=66 velocity=80 time=1
note_on channel=0 note=66 velocity=0 time=119
note_on channel=0 note=64 velocity=80 time=1
note_on channel=0 note=64 velocity=0 time=119
note_on channel=0 note=68 velocity=80 time=1
note_on channel=0 note=68 velocity=0 time=119
note_on channel=0 note=71 velocity=80 time=1
note_on channel=0 note=71 velocity=0 time=119
note_on channel=0 note=74 velocity=80 time=1
note_on channel=0 note=74 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=79 velocity=80 time=1
note_on channel=0 note=79 velocity=0 time=119
note_on channel=0 note=81 velocity=80 time=1
note_on channel=0 note=81 velocity=0 time=119
note_on channel=0 note=79 velocity=80 time=1
note_on channel=0 note=79 velocity=0 time=119
note_on channel=0 note=81 velocity=80 time=1
note_on channel=0 note=81 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=73 velocity=80 time=1
note_on channel=0 note=73 velocity=0 time=119
note_on channel=0 note=71 velocity=80 time=1
note_on channel=0 note=71 velocity=0 time=119
note_on channel=0 note=73 velocity=80 time=1
note_on channel=0 note=73 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=69 velocity=80 time=1
note_on channel=0 note=69 velocity=0 time=119
note_on channel=0 note=73 velocity=80 time=1
note_on channel=0 note=73 velocity=0 time=119
note_on channel=0 note=64 velocity=80 time=1
note_on channel=0 note=64 velocity=0 time=119
note_on channel=0 note=69 velocity=80 time=1
note_on channel=0 note=69 velocity=0 time=119
note_on channel=0 note=67 velocity=80 time=1
note_on channel=0 note=67 velocity=0 time=119
note_on channel=0 note=66 velocity=80 time=1
note_on channel=0 note=66 velocity=0 time=119
note_on channel=0 note=64 velocity=80 time=1
note_on channel=0 note=64 velocity=0 time=119
note_on channel=0 note=62 velocity=80 time=1
note_on channel=0 note=62 velocity=0 time=119
note_on channel=0 note=61 velocity=80 time=1
note_on channel=0 note=61 velocity=0 time=119
note_on channel=0 note=59 velocity=80 time=1
note_on channel=0 note=59 velocity=0 time=119
note_on channel=0 note=57 velocity=80 time=1
note_on channel=0 note=57 velocity=0 time=239
note_on channel=0 note=79 velocity=80 time=1
note_on channel=0 note=79 velocity=0 time=119
note_on channel=0 note=78 velocity=80 time=1
note_on channel=0 note=78 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=74 velocity=80 time=1
note_on channel=0 note=74 velocity=0 time=119
note_on channel=0 note=73 velocity=80 time=1
note_on channel=0 note=73 velocity=0 time=119
note_on channel=0 note=71 velocity=80 time=1
note_on channel=0 note=71 velocity=0 time=119
note_on channel=0 note=69 velocity=80 time=1
note_on channel=0 note=69 velocity=0 time=119
note_on channel=0 note=79 velocity=80 time=1
note_on channel=0 note=79 velocity=0 time=119
note_on channel=0 note=78 velocity=80 time=1
note_on channel=0 note=78 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=74 velocity=80 time=1
note_on channel=0 note=74 velocity=0 time=119
note_on channel=0 note=73 velocity=80 time=1
note_on channel=0 note=73 velocity=0 time=119
note_on channel=0 note=71 velocity=80 time=1
note_on channel=0 note=71 velocity=0 time=119
note_on channel=0 note=69 velocity=80 time=1
note_on channel=0 note=69 velocity=0 time=119
note_on channel=0 note=67 velocity=80 time=1
note_on channel=0 note=67 velocity=0 time=119
note_on channel=0 note=78 velocity=80 time=1
note_on channel=0 note=78 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=74 velocity=80 time=1
note_on channel=0 note=74 velocity=0 time=119
note_on channel=0 note=73 velocity=80 time=1
note_on channel=0 note=73 velocity=0 time=119
note_on channel=0 note=71 velocity=80 time=1
note_on channel=0 note=71 velocity=0 time=119
note_on channel=0 note=69 velocity=80 time=1
note_on channel=0 note=69 velocity=0 time=119
note_on channel=0 note=67 velocity=80 time=1
note_on channel=0 note=67 velocity=0 time=119
note_on channel=0 note=66 velocity=80 time=1
note_on channel=0 note=66 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=74 velocity=80 time=1
note_on channel=0 note=74 velocity=0 time=119
note_on channel=0 note=73 velocity=80 time=1
note_on channel=0 note=73 velocity=0 time=119
note_on channel=0 note=71 velocity=80 time=1
note_on channel=0 note=71 velocity=0 time=119
note_on channel=0 note=69 velocity=80 time=1
note_on channel=0 note=69 velocity=0 time=119
note_on channel=0 note=67 velocity=80 time=1
note_on channel=0 note=67 velocity=0 time=119
note_on channel=0 note=66 velocity=80 time=1
note_on channel=0 note=66 velocity=0 time=119
note_on channel=0 note=64 velocity=80 time=1
note_on channel=0 note=64 velocity=0 time=119
note_on channel=0 note=74 velocity=80 time=1
note_on channel=0 note=74 velocity=0 time=119
note_on channel=0 note=73 velocity=80 time=1
note_on channel=0 note=73 velocity=0 time=119
note_on channel=0 note=71 velocity=80 time=1
note_on channel=0 note=71 velocity=0 time=119
note_on channel=0 note=73 velocity=80 time=1
note_on channel=0 note=73 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=69 velocity=80 time=1
note_on channel=0 note=69 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=71 velocity=80 time=1
note_on channel=0 note=71 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=73 velocity=80 time=1
note_on channel=0 note=73 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=74 velocity=80 time=1
note_on channel=0 note=74 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=71 velocity=80 time=1
note_on channel=0 note=71 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=73 velocity=80 time=1
note_on channel=0 note=73 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=69 velocity=80 time=1
note_on channel=0 note=69 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=74 velocity=80 time=1
note_on channel=0 note=74 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=71 velocity=80 time=1
note_on channel=0 note=71 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=73 velocity=80 time=1
note_on channel=0 note=73 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=69 velocity=80 time=1
note_on channel=0 note=69 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=74 velocity=80 time=1
note_on channel=0 note=74 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=71 velocity=80 time=1
note_on channel=0 note=71 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=73 velocity=80 time=1
note_on channel=0 note=73 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=69 velocity=80 time=1
note_on channel=0 note=69 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=71 velocity=80 time=1
note_on channel=0 note=71 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=73 velocity=80 time=1
note_on channel=0 note=73 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=74 velocity=80 time=1
note_on channel=0 note=74 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=78 velocity=80 time=1
note_on channel=0 note=78 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=69 velocity=80 time=1
note_on channel=0 note=69 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=78 velocity=80 time=1
note_on channel=0 note=78 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=79 velocity=80 time=1
note_on channel=0 note=79 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=69 velocity=80 time=1
note_on channel=0 note=69 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=78 velocity=80 time=1
note_on channel=0 note=78 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=79 velocity=80 time=1
note_on channel=0 note=79 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=81 velocity=80 time=1
note_on channel=0 note=81 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=78 velocity=80 time=1
note_on channel=0 note=78 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=79 velocity=80 time=1
note_on channel=0 note=79 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=78 velocity=80 time=1
note_on channel=0 note=78 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=79 velocity=80 time=1
note_on channel=0 note=79 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=78 velocity=80 time=1
note_on channel=0 note=78 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=78 velocity=80 time=1
note_on channel=0 note=78 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=74 velocity=80 time=1
note_on channel=0 note=74 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=74 velocity=80 time=1
note_on channel=0 note=74 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=73 velocity=80 time=1
note_on channel=0 note=73 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=74 velocity=80 time=1
note_on channel=0 note=74 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=73 velocity=80 time=1
note_on channel=0 note=73 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=74 velocity=80 time=1
note_on channel=0 note=74 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=71 velocity=80 time=1
note_on channel=0 note=71 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=73 velocity=80 time=1
note_on channel=0 note=73 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=69 velocity=80 time=1
note_on channel=0 note=69 velocity=0 time=119
note_on channel=0 note=71 velocity=80 time=1
note_on channel=0 note=71 velocity=0 time=119
note_on channel=0 note=72 velocity=80 time=1
note_on channel=0 note=72 velocity=0 time=119
note_on channel=0 note=69 velocity=80 time=1
note_on channel=0 note=69 velocity=0 time=119
note_on channel=0 note=73 velocity=80 time=1
note_on channel=0 note=73 velocity=0 time=119
note_on channel=0 note=69 velocity=80 time=1
note_on channel=0 note=69 velocity=0 time=119
note_on channel=0 note=74 velocity=80 time=1
note_on channel=0 note=74 velocity=0 time=119
note_on channel=0 note=69 velocity=80 time=1
note_on channel=0 note=69 velocity=0 time=119
note_on channel=0 note=75 velocity=80 time=1
note_on channel=0 note=75 velocity=0 time=119
note_on channel=0 note=69 velocity=80 time=1
note_on channel=0 note=69 velocity=0 time=119
note_on channel=0 note=76 velocity=80 time=1
note_on channel=0 note=76 velocity=0 time=119
note_on channel=0 note=69 velocity=80 time=1
note_on channel=0 note=69 velocity=0 time=119
note_on channel=0 note=77 velocity=80 time=1
note_on channel=0 note=77 velocity=0 time=119
note_on channel=0 note=69 velocity=80 time=1
note_on channel=0 note=69 velocity=0 time=119
note_on channel=0 note=78 velocity=80 time=1
note_on channel=0 note=78 velocity=0 time=119
note_on channel=0 note=69 velocity=80 time=1
note_on channel=0 note=69 velocity=0 time=119
note_on channel=0 note=79 velocity=80 time=1
note_on channel=0 note=79 velocity=0 time=119
note_on channel=0 note=69 velocity=80 time=1
note_on channel=0 note=69 velocity=0 time=119
note_on channel=0 note=80 velocity=80 time=1
note_on channel=0 note=80 velocity=0 time=119
note_on channel=0 note=69 velocity=80 time=1
note_on channel=0 note=69 velocity=0 time=119
note_on channel=0 note=81 velocity=80 time=1
note_on channel=0 note=81 velocity=0 time=119
note_on channel=0 note=69 velocity=80 time=1
note_on channel=0 note=69 velocity=0 time=119
note_on channel=0 note=82 velocity=80 time=1
note_on channel=0 note=82 velocity=0 time=119
note_on channel=0 note=69 velocity=80 time=1
note_on channel=0 note=69 velocity=0 time=119
note_on channel=0 note=83 velocity=80 time=1
note_on channel=0 note=83 velocity=0 time=119
